airport,total_delays_ct,longitude,latitude
STL,11.0,-90.37047024952082,38.74962725
STS,2.0,-92.46003172493836,44.003452
TPA,16.0,20.7851996,48.109792
TUS,4.0,59.5169387,36.4833014
WRG,3.0,57.9443638,37.3151583
YAK,11.0,-139.64408083356284,59.50081355
ABQ,7.0,-0.0522137,51.5473673
ACK,12.0,-97.62048789951376,35.396246500000004
ALB,15.0,-115.002136,55.001251
ATL,95.0,-84.42927118585675,33.63779875
AUS,28.0,-97.66500963529676,30.19348925
BDL,94.0,4.5322123,36.4636178
BNA,70.0,44.7364245,35.5710071
BOS,941.0,22.8374152,45.7520158
BQN,40.0,91.4406019,53.72068
BTV,13.0,9.7499395,47.4721844
BUF,56.0,-78.73075229745353,42.9402016
BUR,4.0,0.3267126,43.1893067
BWI,19.0,4.1203454,12.7229649
CHS,71.0,-92.876885,40.729827
CLE,14.0,-84.1566341,39.0678155
CLT,8.0,-71.332733,42.463107
DCA,174.0,-77.0460178,38.8530365
DEN,27.0,-104.68536732610298,39.8606676
DFW,5.0,-97.052651,32.8169726
DTW,40.0,25.35,11.433333
EWR,122.0,-0.9808491474216804,51.9293628
EYW,1.0,-81.75961603475078,24.5554773
FLL,414.0,-87.97114,46.424572
HPN,98.0,106.6990686,10.9287173
HYA,1.0,81.53892,30.07573
IAH,15.0,-79.6311401,43.485555
JAX,74.0,3.6168847,45.1683631
JFK,1012.0,-73.7793733748521,40.6429479
LAS,72.0,0.3098676,43.4697786
LAX,248.0,-83.1215404,31.4732507
LGA,259.0,24.0216384,42.8814427
MCI,6.0,11.392882331230885,47.26281635
MCO,423.0,-100.91964965,29.44530225
MIA,73.0,165.9807237,-21.5549167
MKE,9.0,15.115839336574236,48.8638011
MSP,6.0,57.1743114,50.2863237
MSY,44.0,138.58985442726532,-34.925185299999995
MVY,2.0,,
ONT,11.0,-86.000977,50.000678
ORD,14.0,-94.0710625,41.2511017
ORH,25.0,76.9565141,31.6910009
PBI,137.0,-121.6543791,36.673138050000006
PDX,22.0,-122.67777,45.5255102
PHL,23.0,102.6007983,15.8137152
PHX,16.0,-112.36551,33.409092
PIT,24.0,-1.1063789,44.4765421
PSE,28.0,0.5024554,46.9700014
PSP,0.0,44.8668457,41.6907
PVD,32.0,-71.4296527,41.72434
PWM,14.0,57.5610161,26.9297693
RDU,61.0,-78.79765,35.870371
RIC,57.0,22.5194504,41.4427241
RNO,8.0,30.7383222,57.9159394
ROC,26.0,-77.67269338979611,43.1161699
RSW,62.0,6.4934556,49.9989624
SAN,23.0,3.282606,48.1978559
SAT,9.0,-7.7336741,40.7426067
SAV,24.0,30.645786,37.765446
SEA,15.0,126.9782914,37.5666791
SFO,57.0,9.780981751762262,54.92108795
SJC,16.0,-106.03875579447538,36.09509
SJU,309.0,11.417193959836451,58.11413
SLC,46.0,-51.20556320285798,-30.044138
SMF,19.0,57.49604476883336,-20.29515195
SRQ,17.0,47.7693841,39.8153407
STT,10.0,76.1188893,10.7005828
SYR,43.0,43.166667,19.166667
TPA,125.0,20.7851996,48.109792
ALB,11.0,-115.002136,55.001251
BHM,2.0,19.14518437848014,50.2917643
BRO,21.0,17.6426027,59.514658
BTR,13.0,35.6826178,32.9956392
BUF,0.0,-78.73075229745353,42.9402016
CAE,14.0,-72.635583,42.2040159
CHO,6.0,-16.6656709,28.0501772
CHS,0.0,-92.876885,40.729827
CMH,0.0,-93.1047756,37.6435334
COD,20.0,,
COS,7.0,1.568609,42.9768891
CRP,15.0,-95.68595469270475,43.87528545
CVG,2.0,10.927840369587262,44.6204085
DAY,1.0,-121.3744266,41.2115526
DEN,144.0,-104.68536732610298,39.8606676
DRO,16.0,10.9111105,45.961471
DTW,3.0,25.35,11.433333
ECP,19.0,-74.664062,40.33138
ELP,1.0,6.6432482,52.8820781
GJT,1.0,-108.52444920306618,39.1234158
GPT,17.0,104.999927,35.000074
HOB,9.0,,
HRL,6.0,76.5120396,10.3528744
HSV,28.0,19.42432223087173,51.7359606
IAD,68.0,-43.3744102,-21.7788848
IAH,316.0,-79.6311401,43.485555
ICT,14.0,11.1712504,10.3026067
JAN,26.0,46.616195,35.174259
LBB,32.0,8.2809779,49.996317
LCH,14.0,-98.32828109436466,34.7534653
LFT,12.0,-122.0019921,37.3871815
LIT,25.0,-96.6719618,35.3481286
LNK,31.0,-97.798683,38.798323
LRD,21.0,48.6304427,37.3578932
MAF,1.0,55.4444722,-21.099332
MFE,6.0,-82.4789063,38.4100884
MOB,7.0,4.3186855,6.4413385
MOT,16.0,-93.571286,32.9068055
MYR,0.0,-78.92905970872894,33.680640600000004
ORF,1.0,-76.20229629965002,36.8946697
PNS,13.0,18.23618521690468,49.8044351
PVD,1.0,-71.4296527,41.72434
PWM,0.0,57.5610161,26.9297693
RIC,0.0,22.5194504,41.4427241
ROA,8.0,1.0939658,49.4404591
ROC,0.0,-77.67269338979611,43.1161699
SAF,27.0,10.4324131,6.4322505
SDF,2.0,48.5279462,34.7903513
SGF,8.0,3.8523111,43.5756415
SHV,37.0,-93.7111,32.5173
STL,10.0,-90.37047024952082,38.74962725
TUL,23.0,1.7706797,45.2678347
TYS,32.0,-83.99887165077078,35.809552999999994
XNA,16.0,-94.30231731247596,36.279381150000006
ABQ,10.0,-0.0522137,51.5473673
ALB,7.0,-115.002136,55.001251
ANC,25.0,-149.99789189730433,61.18103525
ATL,2244.0,-84.42927118585675,33.63779875
ATW,3.0,43.777669,13.770767
AUS,138.0,-97.66500963529676,30.19348925
AVL,28.0,15.422190596309871,47.0795199
BDL,28.0,4.5322123,36.4636178
BHM,35.0,19.14518437848014,50.2917643
BIL,7.0,7.2439029,47.1402077
BIS,2.0,16.165472532604653,43.0434206
BNA,78.0,44.7364245,35.5710071
BOI,8.0,9.495278,9.568333
BOS,290.0,22.8374152,45.7520158
BTR,12.0,35.6826178,32.9956392
BTV,2.0,9.7499395,47.4721844
BUF,30.0,-78.73075229745353,42.9402016
BUR,3.0,0.3267126,43.1893067
BWI,74.0,4.1203454,12.7229649
BZN,12.0,26.1066426,43.7371465
CAE,17.0,-72.635583,42.2040159
CHA,14.0,91.5017422,29.7583709
CHO,1.0,-16.6656709,28.0501772
CHS,39.0,-92.876885,40.729827
CID,2.0,-80.1059762,35.712047
CLE,24.0,-84.1566341,39.0678155
